epoch,gen_loss,disc_loss,inception,mode
0,139.79908752441406,146.36831665039062,1.300828456878662,1.3008280992507935
1,75.64751434326172,240.90219116210938,1.5896730422973633,1.589673399925232
2,10.898843765258789,346.6287841796875,2.227202892303467,2.227202892303467
3,-60.981956481933594,406.00823974609375,2.2900123596191406,2.2900121212005615
4,-55.48872375488281,341.21697998046875,1.9487544298171997,1.9487546682357788
5,-20.173114776611328,292.6192321777344,2.4147439002990723,2.414743661880493
6,-80.31578063964844,340.0139465332031,2.457927703857422,2.457928419113159
7,-66.15908813476562,316.16357421875,2.9513776302337646,2.9513778686523438
8,-29.919784545898438,227.94949340820312,3.073042869567871,3.07304310798645
9,-32.123111724853516,181.56094360351562,3.151157855987549,3.151157855987549
10,-38.37797164916992,127.12216186523438,3.2691142559051514,3.2691144943237305
11,-36.94758605957031,139.48736572265625,3.215669631958008,3.215670108795166
12,-23.153718948364258,121.82035827636719,3.325721025466919,3.3257203102111816
13,-1.2301942110061646,30.97083854675293,3.4965872764587402,3.4965872764587402
14,20.87192726135254,47.91962814331055,3.5291366577148438,3.5291364192962646
15,-10.070440292358398,38.37776184082031,3.4170830249786377,3.4170830249786377
16,14.08049201965332,27.72325325012207,3.5196595191955566,3.519660234451294
17,11.231263160705566,-23.369003295898438,3.472928285598755,3.472928524017334
18,-2.1487784385681152,-13.922428131103516,3.2876508235931396,3.2876508235931396
19,31.36591148376465,-18.977540969848633,3.4792957305908203,3.4792964458465576
20,51.12054443359375,-76.79988098144531,3.629784107208252,3.629784107208252
21,-10.406949996948242,-22.035512924194336,3.6478726863861084,3.64787220954895
22,68.27336120605469,-86.96185302734375,3.4686155319213867,3.468616247177124
23,54.145076751708984,-61.92055130004883,3.545651912689209,3.5456511974334717
24,15.735799789428711,-89.36746978759766,3.6955323219299316,3.6955318450927734
25,81.44084930419922,-170.26060485839844,3.650076389312744,3.650076389312744
26,92.81361389160156,-201.52609252929688,3.6645114421844482,3.6645121574401855
27,-32.363563537597656,-34.66102600097656,3.694932222366333,3.694932222366333
28,49.61787033081055,-173.92567443847656,3.5352611541748047,3.5352611541748047
29,53.815155029296875,-136.4290313720703,3.758436441421509,3.758436679840088
30,42.10559844970703,-168.08706665039062,3.6254770755767822,3.6254770755767822
31,55.37809753417969,-79.12358856201172,3.6436872482299805,3.6436877250671387
32,36.617862701416016,-154.56809997558594,3.745741844177246,3.7457423210144043
33,3.494018793106079,-68.1036376953125,3.853529214859009,3.853530168533325
34,67.82401275634766,-190.17091369628906,3.6791772842407227,3.6791772842407227
35,17.109947204589844,-139.84556579589844,3.731433629989624,3.731433629989624
36,79.64088439941406,-182.2192840576172,3.710585832595825,3.710585832595825
37,92.54689025878906,-260.1953125,3.839820623397827,3.83981990814209
38,26.846004486083984,-165.15652465820312,3.721510410308838,3.721510410308838
39,56.24053955078125,-133.36367797851562,3.96606707572937,3.966067314147949
40,109.93717956542969,-307.922607421875,3.7578656673431396,3.7578659057617188
41,57.85404586791992,-149.96429443359375,3.772871971130371,3.772871494293213
42,109.86650085449219,-294.84716796875,3.556812047958374,3.5568125247955322
43,80.75265502929688,-262.6111755371094,3.6664211750030518,3.6664202213287354
44,98.03216552734375,-220.23179626464844,3.8983564376831055,3.8983559608459473
45,144.82933044433594,-386.6148681640625,3.7581987380981445,3.7581984996795654
46,13.206864356994629,-194.4784393310547,3.7292497158050537,3.729249954223633
47,62.64517593383789,-269.0458679199219,3.6968460083007812,3.6968467235565186
48,107.62625122070312,-333.16552734375,3.9125020503997803,3.912501811981201
49,94.5941390991211,-275.6069641113281,3.8414061069488525,3.8414063453674316
50,76.24435424804688,-333.43865966796875,3.9016056060791016,3.9016053676605225
51,63.6591911315918,-180.56427001953125,3.726858615875244,3.7268593311309814
52,68.966796875,-349.08001708984375,3.885977268218994,3.885977029800415
53,139.65126037597656,-346.7352294921875,3.771073341369629,3.771073341369629
54,108.12713623046875,-289.53631591796875,3.7958669662475586,3.7958672046661377
55,129.2457275390625,-358.60455322265625,3.7051596641540527,3.7051594257354736
56,93.53160095214844,-292.75897216796875,3.7981948852539062,3.7981948852539062
57,55.81159210205078,-296.510986328125,3.798358678817749,3.7983591556549072
58,141.9481201171875,-368.571533203125,3.7003555297851562,3.7003557682037354
59,103.35835266113281,-365.5193176269531,3.6363158226013184,3.6363158226013184
60,123.61051177978516,-370.29150390625,3.9293627738952637,3.9293625354766846
61,147.83909606933594,-399.1843566894531,3.7218470573425293,3.7218470573425293
62,75.45635223388672,-367.7162170410156,3.8883018493652344,3.8883018493652344
63,156.90823364257812,-409.49029541015625,3.777848720550537,3.777848720550537
64,24.482603073120117,-340.6964111328125,3.8895463943481445,3.8895463943481445
65,169.8118438720703,-460.1807861328125,3.71349835395813,3.7134978771209717
66,128.95655822753906,-435.4558410644531,3.861294746398926,3.861295461654663
67,83.49263000488281,-303.2055969238281,3.9380085468292236,3.938009262084961
68,141.32989501953125,-414.1502990722656,3.953948736190796,3.953948974609375
69,83.50765991210938,-452.1085205078125,3.6532976627349854,3.653296947479248
70,149.4066619873047,-462.57171630859375,3.7150392532348633,3.715039014816284
71,144.28855895996094,-426.1143798828125,3.8079333305358887,3.807934284210205
72,126.89337158203125,-345.028076171875,3.837848424911499,3.837848424911499
73,149.92050170898438,-456.942626953125,3.753753185272217,3.753753185272217
74,178.516357421875,-563.8726196289062,3.7791829109191895,3.7791833877563477
75,133.1971435546875,-389.8106994628906,3.6914355754852295,3.6914353370666504
76,160.3404541015625,-524.921630859375,3.848940372467041,3.848940849304199
77,134.80006408691406,-381.1724853515625,3.9801623821258545,3.9801628589630127
78,168.97134399414062,-420.57659912109375,3.867053270339966,3.867053985595703
79,144.0878448486328,-486.274169921875,3.9850239753723145,3.9850242137908936
80,159.97134399414062,-500.0096740722656,3.8280932903289795,3.8280935287475586
81,-765.70703125,469.3521728515625,3.6108086109161377,3.6108081340789795
82,-2906.262939453125,2646.57080078125,3.6167397499084473,3.6167397499084473
83,-692.4750366210938,405.24200439453125,3.7326574325561523,3.7326574325561523
84,209.38449096679688,-546.7008666992188,3.765683650970459,3.765683650970459
85,-1624.702880859375,1320.212890625,3.724137544631958,3.724137544631958
86,-2914.015869140625,2674.754638671875,3.6157021522521973,3.615701675415039
87,-2906.552490234375,2542.90625,3.7707321643829346,3.770732879638672
88,-2901.475341796875,2544.65771484375,3.5997979640960693,3.5997979640960693
89,-2905.12109375,2591.25439453125,3.6068692207336426,3.6068687438964844
90,-2912.968017578125,2583.594970703125,3.894981622695923,3.89498233795166
91,-2903.488037109375,2528.929931640625,3.8809471130371094,3.880946159362793
92,-2906.38330078125,2600.111083984375,3.774820327758789,3.7748210430145264
93,-2898.415771484375,2464.309326171875,3.777367353439331,3.77736759185791
94,-2914.655029296875,2600.6435546875,3.9019079208374023,3.9019079208374023
95,-2904.943603515625,2501.7890625,4.071807384490967,4.071808338165283
96,-2899.59912109375,2489.958740234375,3.840102195739746,3.840102195739746
97,-2908.487060546875,2547.854248046875,3.6858432292938232,3.685842990875244
98,-2905.27099609375,2517.076416015625,3.8207037448883057,3.8207037448883057
99,-2912.506103515625,3417.396728515625,3.755561113357544,3.755561113357544
