epoch,gen_loss,disc_loss,inception,mode
0,2785.924560546875,261.7630615234375,0.9999998807907104,0.9999980330467224
1,5390.48388671875,35.22813034057617,1.0000020265579224,0.999990701675415
2,6212.22705078125,28.586381912231445,1.0000277757644653,1.000061273574829
3,6842.5302734375,31.729759216308594,1.0004953145980835,1.0006911754608154
4,6827.6181640625,23.134456634521484,1.000072717666626,1.0000348091125488
5,7381.140625,41.98009490966797,1.0000038146972656,1.0000100135803223
6,7349.8720703125,48.06229782104492,1.0000073909759521,1.0000097751617432
7,6477.24267578125,36.322914123535156,1.0000015497207642,1.000014305114746
8,7055.35693359375,35.29789733886719,1.0000282526016235,1.000014305114746
9,7214.63916015625,34.95560836791992,1.0004222393035889,1.0000827312469482
10,7137.33984375,38.98066711425781,1.0093064308166504,1.0083935260772705
11,7188.77734375,32.89514923095703,1.0000134706497192,1.0000786781311035
12,7679.47216796875,27.8060245513916,1.0496821403503418,1.0502952337265015
13,6923.19775390625,57.09014129638672,1.0488369464874268,1.0627204179763794
14,7225.39306640625,29.528182983398438,1.0030752420425415,1.0033358335494995
15,7153.03662109375,30.286426544189453,1.0000780820846558,1.0000364780426025
16,7054.58447265625,32.86907196044922,1.180924415588379,1.181069016456604
17,7802.4169921875,25.940597534179688,1.0109087228775024,1.0155725479125977
18,7758.9921875,20.591035842895508,1.0031198263168335,1.0017489194869995
19,7969.10205078125,30.076292037963867,1.0517462491989136,1.0404646396636963
20,7423.46337890625,34.78733444213867,1.6145343780517578,1.6381793022155762
21,7573.0830078125,25.109743118286133,1.7621546983718872,1.7583339214324951
22,7176.9267578125,38.965057373046875,1.4284080266952515,1.4320330619812012
23,6555.80712890625,42.36862564086914,1.205612063407898,1.2608604431152344
24,6506.61669921875,38.90589141845703,1.9615308046340942,1.9575746059417725
25,6304.8623046875,41.030113220214844,1.6586357355117798,1.667655110359192
26,6213.95361328125,34.517086029052734,1.7676533460617065,1.8021492958068848
27,6126.4453125,44.64000701904297,1.1995975971221924,1.2096365690231323
28,6832.79736328125,45.24602508544922,1.6149592399597168,1.6049638986587524
29,6187.68505859375,39.29408645629883,1.0859512090682983,1.110192060470581
30,6746.18017578125,30.09646987915039,1.1138482093811035,1.1091434955596924
31,6484.630859375,45.71051788330078,1.3231092691421509,1.3292815685272217
32,6809.95263671875,28.94980812072754,1.4082986116409302,1.3757551908493042
33,6760.35986328125,36.096763610839844,1.0840086936950684,1.1067681312561035
34,7002.72216796875,26.638198852539062,1.0067954063415527,1.0128329992294312
35,6874.66259765625,28.17584991455078,1.0621089935302734,1.072890043258667
36,7166.46630859375,24.802553176879883,1.9129718542099,1.9279197454452515
37,7169.6650390625,27.02081298828125,1.198133111000061,1.2345298528671265
38,7611.73388671875,24.280574798583984,1.0001651048660278,1.0003397464752197
39,7087.22021484375,32.46889114379883,1.0318751335144043,1.0335930585861206
40,7062.39453125,28.624177932739258,2.1677908897399902,2.189836025238037
41,6681.9541015625,36.18855667114258,1.4689879417419434,1.522159457206726
42,6450.86669921875,34.369384765625,1.0690900087356567,1.0417851209640503
43,6497.05859375,35.483787536621094,2.1114914417266846,2.0517990589141846
44,6212.78662109375,38.797340393066406,1.7312756776809692,1.759804606437683
45,6410.27099609375,42.9243049621582,3.066688299179077,3.0735890865325928
46,5229.17236328125,75.57789611816406,1.920788049697876,1.9338483810424805
47,4736.12744140625,92.77689361572266,1.1992852687835693,1.1874268054962158
48,4178.8544921875,116.56449890136719,1.041938066482544,1.0660282373428345
49,3757.5068359375,147.63449096679688,1.0203502178192139,1.0380228757858276
50,3481.6875,188.64830017089844,1.0479567050933838,1.0498956441879272
51,3253.904296875,202.81517028808594,1.1832358837127686,1.1823539733886719
52,3329.125,201.3040313720703,1.0579044818878174,1.0905483961105347
53,3213.005615234375,205.0735321044922,1.0087239742279053,1.0160008668899536
54,3231.427001953125,209.7142791748047,1.010054349899292,1.0062023401260376
55,2941.90380859375,236.32888793945312,1.112674355506897,1.1113457679748535
56,2763.126220703125,265.3052673339844,1.0381773710250854,1.0787837505340576
57,2803.14453125,259.9339599609375,1.0279392004013062,1.0328009128570557
58,2722.46728515625,271.96063232421875,1.0205910205841064,1.0232570171356201
59,2684.019775390625,276.7237243652344,1.0712065696716309,1.0201529264450073
60,2678.59521484375,280.0434875488281,1.1023024320602417,1.070220947265625
61,2770.614501953125,269.6073303222656,1.1290748119354248,1.077988862991333
62,2674.217529296875,283.9722595214844,1.0900171995162964,1.0980141162872314
63,2622.109130859375,292.3155822753906,1.0870636701583862,1.1201220750808716
64,2578.1142578125,293.53265380859375,1.0843654870986938,1.1412062644958496
65,2553.70556640625,296.78558349609375,1.1353670358657837,1.1181515455245972
66,2583.537841796875,296.6852111816406,1.178364872932434,1.150631070137024
67,2490.697265625,303.2759094238281,1.0710927248001099,1.0971148014068604
68,2561.324951171875,302.8056945800781,1.110817551612854,1.110590934753418
69,2535.05224609375,306.17919921875,1.1426823139190674,1.1351195573806763
70,2504.863037109375,308.07672119140625,1.2699838876724243,1.3239800930023193
71,2484.918212890625,307.72406005859375,1.1012091636657715,1.0854066610336304
72,2523.469970703125,312.9660949707031,1.127728819847107,1.1446508169174194
73,2457.020751953125,318.09942626953125,1.153777837753296,1.1672616004943848
74,2455.22607421875,318.6243591308594,1.1996296644210815,1.1578333377838135
75,2401.47900390625,322.7829895019531,1.1744617223739624,1.1199718713760376
76,2418.212646484375,320.7223205566406,1.2257360219955444,1.2546309232711792
77,2514.725341796875,313.5475769042969,1.2677266597747803,1.2144042253494263
78,2524.577392578125,315.4461364746094,1.1632990837097168,1.1681020259857178
79,2354.297119140625,324.8394775390625,1.2063350677490234,1.2570027112960815
80,2413.8427734375,326.5272521972656,1.3438581228256226,1.3609923124313354
81,2414.56884765625,326.8251037597656,1.2326104640960693,1.2394447326660156
82,2409.230712890625,329.21478271484375,1.2555334568023682,1.2465803623199463
83,2395.492431640625,322.896484375,1.1997212171554565,1.2039921283721924
84,2403.543212890625,325.534912109375,1.2357391119003296,1.2472002506256104
85,2332.97265625,335.80621337890625,1.258862853050232,1.169930338859558
86,2432.989013671875,323.7151184082031,1.3141698837280273,1.2878259420394897
87,2426.871826171875,326.5340881347656,1.272053599357605,1.2583087682724
