epoch,gen_loss,disc_loss,inception,mode
0,168.20045471191406,147.36508178710938,3.7576818466186523,3.7576823234558105
1,-469.7881164550781,2582.652587890625,7.966060161590576,7.966060161590576
2,-570.962890625,2716.59423828125,8.394495010375977,8.394495010375977
3,-403.87353515625,1558.0816650390625,8.82609748840332,8.82609748840332
4,-252.09986877441406,-75.9223403930664,8.654702186584473,8.654702186584473
5,19.256845474243164,-1281.416259765625,8.732314109802246,8.732316017150879
6,259.74676513671875,-2683.543701171875,8.438719749450684,8.438719749450684
7,-82.49605560302734,-2056.472412109375,8.375191688537598,8.37519359588623
8,185.1700897216797,-2203.556640625,8.327624320983887,8.327625274658203
9,407.01617431640625,-3377.7080078125,8.594401359558105,8.594401359558105
10,246.20367431640625,-3482.3720703125,7.867010116577148,7.867012023925781
11,373.9837951660156,4672.26416015625,8.683663368225098,8.683663368225098
12,402.34588623046875,6671.11181640625,8.537535667419434,8.537535667419434
13,124.00568389892578,4958.0576171875,8.44124698638916,8.441245079040527
14,-1573.716796875,9226.3203125,8.727437019348145,8.727437019348145
15,-2704.3828125,10087.7880859375,8.559601783752441,8.55960464477539
16,-166.80836486816406,6102.728515625,8.877837181091309,8.877837181091309
17,443.8323974609375,6347.228515625,8.595906257629395,8.595904350280762
18,489.57196044921875,12296.025390625,8.242952346801758,8.24294662475586
19,-2129.22021484375,16123.3681640625,8.644522666931152,8.644522666931152
20,-1455.3499755859375,14422.87109375,8.81899356842041,8.81899642944336
21,-1354.9007568359375,20339.70703125,8.743379592895508,8.743377685546875
22,-977.6135864257812,22137.501953125,8.826821327209473,8.826823234558105
23,630.1083984375,18368.4140625,8.294004440307617,8.294004440307617
24,-664.337646484375,20281.56640625,8.594612121582031,8.594609260559082
25,-1634.338623046875,23142.291015625,8.652812004089355,8.652812004089355
26,-3660.60693359375,27309.6171875,8.836970329284668,8.8369722366333
27,-4567.28662109375,29283.0546875,8.955587387084961,8.955587387084961
28,-4529.55908203125,28956.44921875,8.744488716125488,8.744488716125488
29,-3418.315185546875,26620.353515625,8.843305587768555,8.843305587768555
30,-3350.27783203125,28066.73046875,8.836922645568848,8.836922645568848
31,-3964.9345703125,32987.0,8.503922462463379,8.503920555114746
32,-4850.09423828125,36156.17578125,8.585383415222168,8.585383415222168
33,-4291.90966796875,35680.921875,8.769822120666504,8.769821166992188
34,-552.8018798828125,28444.171875,8.73363971710205,8.733642578125
35,-2527.3271484375,31723.90234375,8.87811279296875,8.87811279296875
36,-2860.01171875,32716.72265625,8.397751808166504,8.397751808166504
37,-3522.476318359375,33724.91015625,8.759932518005371,8.759932518005371
38,-1359.544921875,30478.2265625,8.890222549438477,8.890226364135742
39,-988.2938232421875,29422.234375,8.807869911193848,8.807869911193848
40,-3155.69189453125,33291.5625,8.586763381958008,8.586763381958008
41,-2931.113037109375,32468.99609375,8.90544319152832,8.905445098876953
42,-5242.22412109375,36986.640625,8.86298656463623,8.86298942565918
43,-5405.59814453125,38741.91015625,8.545583724975586,8.545583724975586
44,-5468.48583984375,37586.05859375,8.877213478088379,8.877213478088379
45,-4280.7041015625,36253.125,8.77399730682373,8.77399730682373
